cpse,legacy_code,description,category,specification,uom
NTPC,NTPC_VLV_1201,Knife Gate Valve 250mm SS RF,Valve,"SS gate, PN10, Lug",PCS
NTPC,NTPC/VLV/1203,Ball Valve 50mm Brass Screwed RF,Valve,"Brass, Screwed BSP",EA
IOCL,IOCL_PMP_1139,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
IOCL,IOCL-VLV-1146,Globe  Valve 65mm Carbon Steel 150#,Valve,"CS, 150#, Flanged",NOS
SAIL,SAIL/PMP/1153,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
SAIL,SAIL_VLV_1154,Diaphragm Valve 80mm PP,Valve,"PP body, EPDM diaphragm",NOS
IOCL,IOCL/PIP/1147,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",M
IOCL,IOCL_VLV_1153,Gate Valve 8 Inch CI PN10,Valve,"CI, PN10, Flanged",PCS
IOCL,IOCL-BRG-1160,Needle Roller Bearing NK45/35,Bearing,45x55x35,NOS
CIL,CIL/FLG/1155,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",PCS
NTPC,NTPC_VLV_1206,Needle Valve 25mm SS316 6000psi RF,Valve,"SS316, 6000 psi, NPT",NOS
IOCL,IOCL/MTR/1166,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",EA
ONGC,ONGC-BRG-1189,THRUST BALL BEARING 51108,Bearing,40x60x13,EA
NTPC,NTPC_PMP_1207,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
ONGC,ONGC-VLV-1193,CHECK VALVE 150MM CS CL 150,Valve,"CS, NACE, Flanged",EA
SAIL,SAIL/VLV/1159,Gate Valve 100mm CS Class 150,Valve,"CS, 150#, Flanged",NOS
NTPC,NTPC-VLV-1214,Ball Vlve 50mm Brass Screwed RF,Valve,"Brass, Screwed BSP",EA
IOCL,IOCL-VLV-1169,Check Valve 12 Inch Carbon Steel Class 150,Valve,"CS, NACE, Flanged",EA
CIL,CIL_VLV_1159,Butterfly VLV 200mm CI PN16,Valve,"CI, PN16, Wafer",NOS
ONGC,ONGC-BRG-1197,TAPER ROLLER BEARING 32210,Bearing,50x90x24.75,NOS
ONGC,ONGC_PMP_1201,SCREW PUMP 5M3/HR SS,Pump,"5 m3/hr, SS wetted",NOS
ONGC,ONGC-BRG-1204,DEEP GROOVE BALL BEARING 6205,Bearing,"25x52x15, SKF/equiv",EA
IOCL,IOCL_BRG_1170,"Thrust, Ball Bearing 51108",Bearing,40x60x13,PCS
NTPC,NTPC-VLV-1218,Ball Valve 80mm SS304 Class 300 RF,Valve,"SS304, Class 300, Screwed",NOS
CPCL,CPCL-PIP-1176,MS Pipe 100 MM NB ERW,Pipe,"100 NB, ERW, 6m",MTR
SAIL,SAIL-PMP-1165,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
NTPC,NTPC-VLV-1219,Gate Valve 200mm CI PN10 RF,Valve,"CI, PN10, Flanged",NOS
ONGC,ONGC-PMP-1207,SLURRY PUMP 100MM HNBR,Pump,"100mm, HNBR lined",EA
NTPC,NTPC-VLV-1226,Gate Valve 200mm CI PN10 RF,,"CI, PN10, Flanged",EA
NTPC,NTPC_VLV_1232,Plug Valve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",PCS
SAIL,SAIL-VLV-1168,Gate Valve 50mm AISI 316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
CPCL,CPCL_MTR_1182,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",PCS
IOCL,IOCL/CBL/1171,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",MTR
CIL,CIL_VLV_1160,Butterfly VLV 200mm CI PN16,Valve,"CI, PN16, Wafer",EA
CIL,CIL-PMP-1163,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
NTPC,NTPC/CBL/1233,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,NOS
ONGC,ONGC-VLV-1212,GATE VALVE 50MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
ONGC,ONGC-PMP-1217,CENTRIFUGAL PUMP 50X40 15KW,,"50x40mm, 15kW, 2900rpm",SET
IOCL,IOCL-VLV-1178,Butterfly Valve 8 Inch CI PN16,Valve,"CI, PN16, Wafer",PCS
IOCL,IOCL/BRG/1184,Spherical Roller Bearing 22218,Bearing,90x160x40,EA
ONGC,ONGC_CBL_1224,CONTROL CABLE 12CX2.5SQMM,Cable,"12Cx2.5 Cu, Unarm",MTR
CPCL,CPCL/PMP/1187,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",NOS
IOCL,IOCL/PMP/1189,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
NTPC,NTPC/VLV/1238,Diaphragm Vlve 80mm PP RF,Valve,"PP body, EPDM diaphragm",PCS
CIL,CIL-PMP-1164,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
CPCL,CPCL_CBL_1194,XLPE  Cable 3Cx120sq MM 1.1kV,Cable,"3Cx120, Al, Armoured",M
ONGC,ONGC/VLV/1230,BUTTERFLY VALVE 200MM CI PN16,Valve,"CI, PN16, Wafer",EA
CPCL,CPCL/VLV/1197,Needle Valve 25 MM SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
IOCL,IOCL-VLV-1190,"Globe, Valve 65mm Carbon Steel 150#",Valve,"CS, 150#, Flanged",EA
IOCL,IOCL/VLV/1194,Safety Relief Valve 2 Inch SS,Valve,"SS, Set 10 barg, Flanged",EA
SAIL,SAIL/BRG/1175,Deep Groove Ball Bearng 6205,Bearing,"25x52x15, SKF/equiv",NOS
CIL,CIL-VLV-1171,GATE VLV 50mm SS316 PN40,Valve,"SS316, PN40, Flanged RF",EA
ONGC,ONGC-CBL-1237,CONTROL CABLE 12CX2.5SQMM,Cable,"12Cx2.5 Cu, Unarm",
NTPC,NTPC_CBL_1244,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",MTR
ONGC,ONGC/GSK/1243,SPIRAL WOUND GASKET 4IN 150#,Gasket,"4in, 150#, SS316+Graphite",NOS
NTPC,NTPC/VLV/1249,Gate Vlve 50mm SS316 PN40 RF,Valve,"SS316, PN40, Flanged RF",PCS
IOCL,IOCL/PIP/1197,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",M
CPCL,CPCL/CBL/1202,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,MTR
SAIL,SAIL_VLV_1182,Foot Valve 100mm CI,Valve,"CI, Flanged, With strainer",NOS
NTPC,NTPC_PIP_1254,CS Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",M
CPCL,CPCL_PMP_1206,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
CIL,CIL_CBL_1176,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,MTR
NTPC,NTPC-VLV-1261,Check Valve 150mm CS Class 150 RF,Valve,"CS, NACE, Flanged",NOS
SAIL,SAIL/PMP/1188,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
NTPC,NTPC/VLV/1263,Plug Valve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",EA
ONGC,ONGC-VLV-1248,NEEDLE VALVE 25MM SS316 6000PSI,Valve,"SS316, 6000 psi, NPT",NOS
ONGC,ONGC_PMP_1253,VERTICAL TURBINE PUMP 200MM,Pump,"200mm column, 75kW",SET
CPCL,CPCL/PIP/1212,SS316 Pipe 50 MM NB Sch40,Pipe,"50 NB, Sch40, Seamless",NOS
NTPC,NTPC_VLV_1267,Globe Valve 65mm CS 150# RF,Valve,"CS, 150#, Flanged",NOS
CPCL,CPCL-PIP-1217,HDPE Pipe 110 MM PN10,Pipe,"110mm OD, PN10, PE100",M
CIL,CIL_FLG_1180,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",NOS
CIL,CIL-VLV-1184,Globe VLV 65mm CS 150#,Valve,"CS, 150#, Flanged",NOS
ONGC,ONGC_VLV_1259,BALL VALVE 80MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",PCS
ONGC,ONGC-PMP-1266,MULTISTAGE PUMP 65X50 30KW,Pump,"65x50, 30kW, 8 stage",SET
NTPC,NTPC/PIP/1271,SS316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",NOS
CIL,CIL-CBL-1188,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",MTR
IOCL,IOCL_FLG_1199,Slipon Flange 3 Inch PN16,Flange,"80 NB, PN16, MS",NOS
SAIL,SAIL-PMP-1194,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",EA
ONGC,ONGC/VLV/1268,PLUG VALVE 100MM CS PTFE,Valve,"CS+PTFE sleeve, 150#",PCS
CPCL,CPCL/PMP/1218,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
CIL,CIL-MTR-1192,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",
ONGC,ONGC/BRG/1272,TAPER ROLLER BEARING 32210,Bearing,50x90x24.75,EA
CPCL,CPCL-VLV-1221,Plug Valve 100 MM CS PTFE,Valve,"CS+PTFE sleeve, 150#",NOS
SAIL,SAIL-VLV-1200,"Gate, Valve 200mm CI PN10",Valve,"CI, PN10, Flanged",EA
IOCL,IOCL/VLV/1206,Gate Valve 12 Inch Carbon Steel 300#,Valve,"CS, 300#, RTJ",PCS
IOCL,IOCL/PMP/1207,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",PCS
SAIL,SAIL/VLV/1207,Safety Relief Valve 50mm SS,Valve,"SS, Set 10 barg, Flanged",EA
ONGC,ONGC/PMP/1278,MULTISTAGE PUMP 65X50 30KW,Pump,"65x50, 30kW, 8 stage",SET
CIL,CIL-PMP-1193,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
ONGC,ONGC_VLV_1283,FOOT VALVE 100MM CI,Valve,"CI, Flanged, With strainer",PCS
SAIL,SAIL-BRG-1208,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",PCS
NTPC,NTPC/PMP/1277,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
CIL,CIL/PMP/1197,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
CPCL,CPCL/VLV/1224,Ball Valve 80 MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",EA
IOCL,IOCL/PMP/1211,"Submersible, Pump 10HP 4 Inch",Pump,"10HP, 100mm bore, 3ph",EA
NTPC,NTPC_PMP_1284,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",EA
SAIL,SAIL_PMP_1215,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
ONGC,ONGC_VLV_1286,GATE VALVE 100MM CS CL 150,Valve,"CS, 150#, Flanged",EA
ONGC,ONGC/VLV/1288,BALL VALVE 80MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",EA
CPCL,CPCL/PMP/1231,Slurry Pump 100 MM HNBR,Pump,"100mm, HNBR lined",SET
IOCL,IOCL-GSK-1217,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",PCS
CIL,CIL_VLV_1199,Plug VLV 100mm CS PTFE,,"CS+PTFE sleeve, 150#",EA
CPCL,CPCL_FST_1237,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
NTPC,NTPC_PMP_1289,Multistage Pump 65x50 30kW,,"65x50, 30kW, 8 stage",EA
CPCL,CPCL_BRG_1242,Needle Roller Bearing NK45/35,Bearing,45x55x35,EA
CIL,CIL/VLV/1202,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",PCS
IOCL,IOCL_BRG_1224,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",EA
CPCL,CPCL/VLV/1246,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",NOS
CPCL,CPCL_PMP_1248,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",PCS
CPCL,CPCL_PIP_1255,MS Pipe 100 MM NB ERW,Pipe,"100 NB, ERW, 6m",NOS
SAIL,SAIL_FLG_1217,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",EA
NTPC,NTPC/VLV/1292,Needle Valve 25mm SS316 6000psi RF,Valve,"SS316, 6000 psi, NPT",EA
CIL,CIL-MTR-1207,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",EA
CPCL,CPCL-VLV-1262,Foot Valve 100 MM CI,Valve,"CI, Flanged, With strainer",NOS
NTPC,NTPC_PMP_1299,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",SET
CIL,CIL/PMP/1211,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",SET
ONGC,???,DIAPHRAGM - DOSING PUMP 0-100LPH,Pump,"0-100 LPH, PP head",EA
CIL,CIL/FLG/1212,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",PCS
CIL,CIL-PMP-1215,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",NOS
CPCL,CPCL_PMP_1266,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
CPCL,CPCL/VLV/1270,Gate Valve 50 MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",EA
CIL,CIL_FLG_1217,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",NOS
ONGC,ONGC/PMP/1300,VERTICAL TURBINE PUMP 200MM,Pump,"200mm column, 75kW",SET
ONGC,ONGC/VLV/1304,NEEDLE VALVE 25MM SS316 6000PSI,Valve,"SS316, 6000 psi, NPT",EA
CIL,CIL/PMP/1220,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",SET
ONGC,ONGC-VLV-1309,GLOBE VALVE 65MM CS 150#,Valve,"CS, 150#, Flanged",NOS
CPCL,CPCL/BRG/1272,Plu MMer Block UCP210,Bearing,"50mm bore, CI housing",PCS
CIL,CIL-VLV-1223,GATE VLV 150mm CS 300#,Valve,"CS, 300#, RTJ",
NTPC,NTPC_PMP_1300,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
CPCL,CPCL-PIP-1273,SS316 Pipe 50 MM NB Sch40,Pipe,"50 NB, Sch40, Seamless",MTR
NTPC,NTPC-PMP-1301,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",SET
NTPC,NTPC_VLV_1304,Gate Valve 50mm SS316 PN40 RF,Valve,"SS316, PN40, Flanged RF",EA
NTPC,NTPC_GSK_1308,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
CIL,CIL-VLV-1230,BALL VLV 80mm SS304 Class 300,Valve,"SS304, Class 300, Screwed",NOS
IOCL,IOCL/VLV/1231,Foot Valve 4 Inch CI,Valve,"CI, Flanged, With strainer",
IOCL,IOCL-PMP-1235,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",EA
SAIL,SAIL_PIP_1222,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
CIL,CIL/PIP/1231,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
IOCL,IOCL_MTR_1240,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",
NTPC,NTPC/VLV/1309,Knife Gate Valve 250mm SS RF,Valve,"SS gate, PN10, Lug",NOS
CIL,CIL-PMP-1238,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",SET
NTPC,NTPC_BRG_1313,Taper Roller Bearing 32210,Bearing,50x90x24.75,
ONGC,ONGC_PMP_1314,VERTICAL TURBINE PUMP 200MM,Pump,"200mm column, 75kW",EA
CPCL,CPCL-VLV-1274,Plug Valve 100 MM CS PTFE,Valve,"CS+PTFE sleeve, 150#",NOS
CPCL,CPCL-PIP-1275,CS Pipe 150 MM NB Sch80,Pipe,"150 NB, Sch80, API 5L",NOS
CPCL,CPCL_BRG_1278,Plu MMer Block UCP210,Bearing,"50mm bore, CI housing",NOS
CIL,CIL_PMP_1241,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
IOCL,IOCL/PMP/1241,Slurry Pump 4 Inch HNBR,Pump,"100mm, HNBR lined",SET
NTPC,NTPC_FLG_1318,WN Flange 100mm 150# CS,,"100 NB, 150#, A105",NOS
NTPC,NTPC_VLV_1322,Gate Valve 50mm SS316 PN40 RF,Valve,"SS316, PN40, Flanged RF",EA
CIL,CIL_VLV_1244,GATE VLV 150mm CS 300#,Valve,"CS, 300#, RTJ",NOS
NTPC,NTPC/VLV/1325,Plug Valve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",EA
CIL,CIL_GSK_1247,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",PCS
CPCL,CPCL-VLV-1284,Butterfly Valve 200 MM CI PN16,Valve,"CI, PN16, Wafer",PCS
CPCL,CPCL/VLV/1291,Knife Gate Valve 250 MM SS,Valve,"SS gate, PN10, Lug",PCS
CIL,CIL/FLG/1252,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",EA
CIL,CIL-PMP-1255,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
IOCL,IOCL/FLG/1242,WN Flange 4 Inch 150# Carbon Steel,Flange,"100 NB, 150#, A105",EA
CIL,CIL-BRG-1259,Taper Roller BRG 32210,Bearing,50x90x24.75,PCS
NTPC,NTPC_PMP_1332,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
NTPC,NTPC_PMP_1338,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
IOCL,IOCL_BRG_1244,Spherical Roller Bearing 22218,Bearing,90x160x40,NOS
NTPC,NTPC-FLG-1341,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",NOS
IOCL,IOCL_VLV_1247,Diaphragm Vlve 3 Inch PP,Valve,"PP body, EPDM diaphragm",EA
SAIL,SAIL_BRG_1223,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",EA
IOCL,IOCL/BRG/1252,Needle Roller Bearing NK45/35,Bearing,45x55x35,NOS
CPCL,CPCL_VLV_1298,Needle Valve 25 MM SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
ONGC,ONGC-VLV-1318,BALL VALVE 50MM BRASS SCREWED,Valve,"Brass, Screwed BSP",PCS
CPCL,CPCL-VLV-1305,Gate Valve 100 MM CS CL 150,Valve,"CS, 150#, Flanged",NOS
CPCL,CPCL/VLV/1310,Gate Valve 200 MM CI PN10,Valve,"CI, PN10, Flanged",NOS
ONGC,ONGC_VLV_1325,BUTTERFLY VALVE 200MM CI PN16,Valve,"CI, PN16, Wafer",
CIL,CIL-PIP-1260,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",NOS
ONGC,ONGC-MTR-1327,DC MOTOR 5KW 1500RPM,Motor,"5kW, 220V DC",EA
CPCL,CPCL-PIP-1315,MS Pipe 100 MM NB ERW,Pipe,"100 NB, ERW, 6m",M
NTPC,NTPC-PIP-1346,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
ONGC,ONGC-PIP-1332,MS PIPE 100MM NB ERW,Pipe,"100 NB, ERW, 6m",M
NTPC,NTPC_BRG_1353,Needle Roller Bearing NK45/35,Bearing,45x55x35,NOS
SAIL,SAIL-VLV-1229,Butterfly Valve 200mm CI PN16,Valve,"CI, PN16, Wafer",NOS
CPCL,CPCL_PIP_1316,MS Pipe 100 MM NB ERW,Pipe,"100 NB, ERW, 6m",NOS
SAIL,SAIL-PMP-1232,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",PCS
SAIL,SAIL-VLV-1234,Ball Valve 80mm AISI 304 Class 300,Valve,"SS304, Class 300, Screwed",PCS
ONGC,ONGC/VLV/1337,GATE VALVE 100MM CS CL 150,Valve,"CS, 150#, Flanged",PCS
CIL,CIL/BRG/1263,Taper Roller BRG 32210,Bearing,50x90x24.75,NOS
IOCL,IOCL/PIP/1256,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
CPCL,CPCL-PMP-1318,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
CPCL,CPCL/GSK/1321,"Ring, Joint Gasket R37 SS316",Gasket,"R37, Octagonal, SS316",EA
CIL,CIL/BRG/1270,Plummer Block UCP210,Bearing,"50mm bore, CI housing",NOS
CIL,CIL_GSK_1277,Ring  Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",PCS
ONGC,ONGC_BRG_1342,NEEDLE ROLLER BEARING NK45/35,Bearing,45x55x35,EA
SAIL,SAIL-VLV-1237,Diaphragm Valve 80mm PP,Valve,"PP body, EPDM diaphragm",NOS
SAIL,SAIL_VLV_1244,Ball Valve 80mm AISI 304 Class 300,Valve,"SS304, Class 300, Screwed",NOS
IOCL,IOCL/BRG/1260,Plummer Block UCP210,Bearing,"50mm bore, CI housing",NOS
ONGC,ONGC/VLV/1347,KNIFE GATE VALVE 250MM SS,Valve,"SS gate, PN10, Lug",NOS
CPCL,CPCL/PIP/1327,"MS, Pipe 100 MM NB ERW",Pipe,"100 NB, ERW, 6m",NOS
CPCL,CPCL-MTR-1334,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",PCS
CPCL,CPCL_BRG_1338,Thrust Ball Bearing 51108,Bearing,40x60x13,NOS
CIL,CIL-FLG-1279,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",NOS
CPCL,CPCL_VLV_1342,Diaphragm Valve 80 MM PP,Valve,"PP body, EPDM diaphragm",NOS
IOCL,IOCL_CBL_1265,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",MTR
IOCL,IOCL_CBL_1267,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
CIL,CIL-VLV-1280,Check VLV 150mm CS Class 150,Valve,"CS, NACE, Flanged",EA
NTPC,NTPC_FLG_1360,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",NOS
NTPC,NTPC-VLV-1361,Globe Valve 65mm CS 150# RF,Valve,"CS, 150#, Flanged",NOS
SAIL,SAIL-BRG-1251,Spherical Roller Bearing 22218,Bearing,90x160x40,PCS
SAIL,SAIL-PMP-1252,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",EA
CIL,CIL/VLV/1285,Safety Relief VLV 50mm SS,Valve,"SS, Set 10 barg, Flanged",NOS
NTPC,NTPC/PMP/1365,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
ONGC,ONGC/VLV/1352,BALL VALVE 50MM BRASS SCREWED,Valve,"Brass, Screwed BSP",EA
ONGC,ONGC_VLV_1356,GATE VALVE 50MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",EA
CIL,CIL_VLV_1288,BALL VLV 80mm SS304 Class 300,Valve,"SS304, Class 300, Screwed",EA
IOCL,IOCL_PMP_1274,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
SAIL,SAIL/PMP/1258,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
CIL,CIL-FLG-1289,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",PCS
CIL,CIL_GSK_1293,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",NOS
ONGC,ONGC-FLG-1359,WN  FLANGE 100MM 150# CS,Flange,"100 NB, 150#, A105",PCS
SAIL,SAIL-BRG-1263,Spherical Roller Bearing 22218,Bearing,90x160x40,NOS
SAIL,SAIL_VLV_1264,Knife Gate Valve 250mm SS,Valve,"SS gate, PN10, Lug",PCS
IOCL,IOCL-VLV-1276,Ball Valve 2 Inch Brass Screwed,Valve,"Brass, Screwed BSP",EA
SAIL,SAIL-PIP-1270,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",MTR
CPCL,CPCL-VLV-1345,Gate Valve 200 MM CI PN10,Valve,"CI, PN10, Flanged",PCS
NTPC,NTPC-GSK-1370,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",PCS
SAIL,SAIL/PMP/1275,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
CPCL,CPCL_VLV_1349,Ball Valve 80 MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",EA
NTPC,NTPC_MTR_1372,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",PCS
ONGC,ONGC-VLV-1362,CHECK VALVE 150MM CS CL 150,Valve,"CS, NACE, Flanged",EA
IOCL,IOCL-VLV-1279,Ball Valve 2 Inch Brass Screwed,Valve,"Brass, Screwed BSP",PCS
NTPC,NTPC_PMP_1374,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
SAIL,SAIL-MTR-1282,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",NOS
SAIL,SAIL/PMP/1289,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",EA
CPCL,CPCL_VLV_1356,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",NOS
NTPC,NTPC-VLV-1379,Knife Gate Valve 250mm SS RF,Valve,"SS gate, PN10, Lug",PCS
ONGC,ONGC/PMP/1366,SUBMERSIBLE PUMP 10HP 100MM,Pump,"10HP, 100mm bore, 3ph",
SAIL,SAIL_PMP_1291,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
NTPC,NTPC_BRG_1383,Plummer Block UCP210,Bearing,"50mm bore, CI housing",EA
SAIL,SAIL-BRG-1298,Needle Roller Bearing NK45/35,Bearing,45x55x35,PCS
IOCL,IOCL-CBL-1285,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",M
CIL,CIL/CBL/1299,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",M
CIL,CIL/CBL/1301,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
CPCL,CPCL/VLV/1363,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",
IOCL,IOCL_VLV_1291,Knife Gate Valve 22 Inch SS,Valve,"SS gate, PN10, Lug",PCS
NTPC,NTPC-PMP-1387,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
CIL,CIL/CBL/1304,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",NOS
CPCL,CPCL_VLV_1366,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",NOS
CPCL,CPCL/VLV/1371,Foot Valve 100 MM CI,Valve,"CI, Flanged, With strainer",EA
CPCL,CPCL_PIP_1377,SS316 Pipe 50 MM NB Sch40,Pipe,"50 NB, Sch40, Seamless",MTR
NTPC,NTPC/PIP/1388,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
CIL,CIL/BRG/1308,Spherical Roller BRG 22218,Bearing,90x160x40,NOS
IOCL,IOCL/VLV/1297,Gate Vlve 4 Inch Carbon Steel Class 150,Valve,"CS, 150#, Flanged",NOS
SAIL,SAIL_BRG_1304,Thrust Ball Bearing 51108,Bearing,40x60x13,NOS
NTPC,NTPC_VLV_1394,Gate Valve 50mm SS316 PN40 RF,Valve,"SS316, PN40, Flanged RF",NOS
